시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.26,202306,15,"79,600",4,1975,신길로 108
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.26,202306,15,"80,000",4,1975,신길로 108
서울특별시 영등포구 여의도동,42,42,0,한양,149.52,202306,5,"240,000",4,1975,국제금융로 79
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.26,202304,5,"71,607",4,1975,신길로 108
서울특별시 영등포구 여의도동,42,42,0,한양,149.59,202304,3,"210,000",4,1975,국제금융로 79
서울특별시 영등포구 여의도동,Feb-30,30,2,삼부,135.8,202303,23,"230,000",4,1975,국제금융로7길 27
서울특별시 서대문구 연희동,Sep-89,89,9,연화,78.88,202303,13,"23,000",4,1975,연희로25길 101
서울특별시 금천구 시흥동,817-29,817,29,시흥(817-29),39.83,202302,2,"22,000",4,1975,독산로24나길 13
서울특별시 서대문구 북아현동,114-1,114,1,북아현맨션,84.95,202302,2,"102,600",4,1975,북아현로6길 78
서울특별시 영등포구 여의도동,42,42,0,한양,149.52,202312,12,"260,000",5,1975,국제금융로 79
서울특별시 금천구 시흥동,817-29,817,29,시흥(817-29),39.83,202311,18,"26,000",5,1975,독산로24나길 13
