Date,Open,High,Low,Close,Adj Close,Volume
2015-12-02,26420,26440,25880,26000,266.843658,11481400
2015-12-03,25900,25940,25720,25800,264.790985,8334750
2015-12-04,25500,25600,25340,25380,260.480469,9635550
2015-12-07,25380,25500,25240,25240,259.043579,9805350
2015-12-08,25240,25440,25240,25240,259.043579,6916100
2015-12-09,25240,25500,25240,25260,259.248871,9090600
2015-12-10,25260,25860,25260,25660,263.354156,15193350
2015-12-11,25660,25900,25440,25680,263.559418,10336450
2015-12-14,25460,25460,25100,25220,258.838379,11140050
2015-12-15,25220,25600,25200,25540,262.122559,8774700
2015-12-16,25560,26200,25560,25980,266.638397,10398100
2015-12-17,26020,26160,25500,25800,264.790985,8733850
2015-12-18,25300,25760,25280,25560,262.32782,8418450
2015-12-21,25560,25700,25220,25600,262.738342,8023300
2015-12-22,25600,25840,25340,25840,265.201538,10309600
2015-12-23,25840,25980,25640,25900,265.817291,10357400
2015-12-24,25900,26000,25700,25700,263.764648,7807550
2015-12-28,25700,25780,25320,25320,259.864655,11361500
2015-12-29,25300,25320,24820,25080,1225.076172,11647200
2015-12-30,25200,25440,25080,25200,1230.937744,10197900
2016-01-04,25200,25200,24100,24100,1177.206421,15346950
2016-01-05,24040,24360,23720,24160,1180.137085,10800100
2016-01-06,24160,24160,23360,23500,1147.898071,18337600
2016-01-07,23320,23660,23020,23260,1136.175049,14119400
2016-01-08,23260,23720,23260,23420,1143.990356,12888150
2016-01-11,23120,23320,22920,23040,1125.428833,12063850
2016-01-12,22960,23320,22880,22920,1119.567139,10314150
2016-01-13,23060,23180,22960,22960,1121.520996,7165800
2016-01-14,22620,22840,22620,22760,1111.751709,10451100
2016-01-15,22800,23040,22480,22640,1105.890015,10473200
2016-01-18,21760,22660,21760,22520,1100.028442,16010700
2016-01-19,22560,23420,22560,23420,1143.990356,10362100
2016-01-20,23200,23200,22640,22760,1111.751709,8352600
2016-01-21,22660,23100,22500,22620,1104.912964,9517600
2016-01-22,22900,23360,22900,23360,1141.059692,7376400
2016-01-25,23440,23520,23120,23240,1135.19812,7995650
2016-01-26,23100,23140,22720,22740,1110.774658,7619950
2016-01-27,22520,23500,22520,23500,1147.898071,13811850
2016-01-28,23280,23360,22780,22900,1118.59021,15795600
2016-01-29,22800,23000,22320,23000,1123.474976,21849150
2016-02-01,23040,23260,23020,23260,1136.175049,12998950
2016-02-02,23220,23320,22940,23120,1129.336426,8317400
2016-02-03,23000,23040,22740,22920,1119.567139,8725350
2016-02-04,23000,23220,22960,23120,1129.336426,12397950
2016-02-05,23120,23380,23120,23280,1137.151855,9404700
2016-02-11,22360,22740,22360,22600,1103.936279,15263100
2016-02-12,22600,23020,22440,22600,1103.936279,12811600
2016-02-15,23080,23200,22880,23080,1127.382568,9157300
2016-02-16,23160,23580,23140,23360,1141.059692,9020050
2016-02-17,23580,24020,23380,23700,1157.667603,12303100
2016-02-18,24060,24060,23560,23740,1159.62146,11124050
2016-02-19,23740,23900,23480,23800,1162.552246,8842600
